Area,Year,Ethnicity,Projection,Age,Sex,Value,Flags
"Far North district","2013","Maori","Medium","Total people, all ages","Total people",27100,
"Far North district","2018","Maori","Medium","Total people, all ages","Total people",28700,
"Far North district","2023","Maori","Medium","Total people, all ages","Total people",30300,
"Far North district","2028","Maori","Medium","Total people, all ages","Total people",31800,
"Far North district","2033","Maori","Medium","Total people, all ages","Total people",33300,
"Far North district","2038","Maori","Medium","Total people, all ages","Total people",34900,
"Far North district","2013","Total population","Medium","Total people, all ages","Total people",60600,
"Far North district","2018","Total population","Medium","Total people, all ages","Total people",62900,
"Far North district","2023","Total population","Medium","Total people, all ages","Total people",64100,
"Far North district","2028","Total population","Medium","Total people, all ages","Total people",64900,
"Far North district","2033","Total population","Medium","Total people, all ages","Total people",65200,
"Far North district","2038","Total population","Medium","Total people, all ages","Total people",64900,
"Whangarei district","2013","Maori","Medium","Total people, all ages","Total people",23100,
"Whangarei district","2018","Maori","Medium","Total people, all ages","Total people",26000,
"Whangarei district","2023","Maori","Medium","Total people, all ages","Total people",29000,
"Whangarei district","2028","Maori","Medium","Total people, all ages","Total people",32100,
"Whangarei district","2033","Maori","Medium","Total people, all ages","Total people",35400,
"Whangarei district","2038","Maori","Medium","Total people, all ages","Total people",39100,
"Whangarei district","2013","Total population","Medium","Total people, all ages","Total people",83700,
"Whangarei district","2018","Total population","Medium","Total people, all ages","Total people",90600,
"Whangarei district","2023","Total population","Medium","Total people, all ages","Total people",95500,
"Whangarei district","2028","Total population","Medium","Total people, all ages","Total people",99200,
"Whangarei district","2033","Total population","Medium","Total people, all ages","Total people",102400,
"Whangarei district","2038","Total population","Medium","Total people, all ages","Total people",105000,
"Kaipara district","2013","Maori","Medium","Total people, all ages","Total people",5010,
"Kaipara district","2018","Maori","Medium","Total people, all ages","Total people",5520,
"Kaipara district","2023","Maori","Medium","Total people, all ages","Total people",5950,
"Kaipara district","2028","Maori","Medium","Total people, all ages","Total people",6410,
"Kaipara district","2033","Maori","Medium","Total people, all ages","Total people",6900,
"Kaipara district","2038","Maori","Medium","Total people, all ages","Total people",7420,
"Kaipara district","2013","Total population","Medium","Total people, all ages","Total people",20500,
"Kaipara district","2018","Total population","Medium","Total people, all ages","Total people",22600,
"Kaipara district","2023","Total population","Medium","Total people, all ages","Total people",23600,
"Kaipara district","2028","Total population","Medium","Total people, all ages","Total people",24400,
"Kaipara district","2033","Total population","Medium","Total people, all ages","Total people",24900,
"Kaipara district","2038","Total population","Medium","Total people, all ages","Total people",25200,
"Auckland","2013","Maori","Medium","Total people, all ages","Total people",169800,
"Auckland","2018","Maori","Medium","Total people, all ages","Total people",188100,
"Auckland","2023","Maori","Medium","Total people, all ages","Total people",204900,
"Auckland","2028","Maori","Medium","Total people, all ages","Total people",221600,
"Auckland","2033","Maori","Medium","Total people, all ages","Total people",239200,
"Auckland","2038","Maori","Medium","Total people, all ages","Total people",257600,
"Auckland","2013","Total population","Medium","Total people, all ages","Total people",1493200,
"Auckland","2018","Total population","Medium","Total people, all ages","Total people",1699900,
"Auckland","2023","Total population","Medium","Total people, all ages","Total people",1859300,
"Auckland","2028","Total population","Medium","Total people, all ages","Total people",1990100,
"Auckland","2033","Total population","Medium","Total people, all ages","Total people",2112000,
"Auckland","2038","Total population","Medium","Total people, all ages","Total people",2222700,
"Rodney local board area","2013","Maori","Medium","Total people, all ages","Total people",6080,
"Rodney local board area","2018","Maori","Medium","Total people, all ages","Total people",6890,
"Rodney local board area","2023","Maori","Medium","Total people, all ages","Total people",7780,
"Rodney local board area","2028","Maori","Medium","Total people, all ages","Total people",8750,
"Rodney local board area","2033","Maori","Medium","Total people, all ages","Total people",9830,
"Rodney local board area","2038","Maori","Medium","Total people, all ages","Total people",11050,
"Rodney local board area","2013","Total population","Medium","Total people, all ages","Total people",57300,
"Rodney local board area","2018","Total population","Medium","Total people, all ages","Total people",66800,
"Rodney local board area","2023","Total population","Medium","Total people, all ages","Total people",76100,
"Rodney local board area","2028","Total population","Medium","Total people, all ages","Total people",84600,
"Rodney local board area","2033","Total population","Medium","Total people, all ages","Total people",92900,
"Rodney local board area","2038","Total population","Medium","Total people, all ages","Total people",100700,
"Hibiscus and Bays local board area","2013","Maori","Medium","Total people, all ages","Total people",6030,
"Hibiscus and Bays local board area","2018","Maori","Medium","Total people, all ages","Total people",7150,
